company,location,industry
Textron,"Providence, RI",Aerospace and Defense
Synnex,"Fremont, CA",Wholesalers: Electronics and Office Equipment
Marriott International,"Bethesda, MD","Hotels, Casinos, Resorts"
Viacom,"New York, NY",Entertainment
Lincoln National,"Radnor, PA","Insurance: Life, Health (stock)"
Nordstrom,"Seattle, WA",General Merchandisers
C.H. Robinson Worldwide,"Eden Prairie, MN",Transportation and Logistics
Edison International,"Rosemead, CA",Utilities: Gas and Electric
Marathon Oil,"Houston, TX","Mining, Crude-Oil Production"
Yum Brands,"Louisville, KY",Food Services
Computer Sciences,"Falls Church, VA",Information Technology Services
Parker-Hannifin,"Cleveland, OH",Industrial Machinery
DaVita HealthCare Partners,"Denver, CO",Health Care: Medical Facilities
CarMax,"Richmond, VA","Automotive Retailing, Services"
Texas Instruments,"Dallas, TX",Semiconductors and Other Electronic Components
WellCare Health Plans,"Tampa, FL",Health Care: Insurance and Managed Care
Marsh & McLennan,"New York, NY",Diversified Financials
Consolidated Edison,"New York, NY",Utilities: Gas and Electric
Oneok,"Tulsa, OK",Pipelines
Visa,"Foster City, CA",Financial Data Services
Jacobs Engineering Group,"Pasadena, CA","Engineering, Construction"
CSX,"Jacksonville, FL",Railroads
Entergy,"New Orleans, LA",Utilities: Gas and Electric
Facebook | Meta,"Menlo Park, CA",Internet Services and Retailing
Dominion Resources,"Richmond, VA",Utilities: Gas and Electric
Leucadia National,"New York, NY",Food Production
"Toys ""R"" Us","Wayne, NJ",Specialty Retailers: Other
DTE Energy,"Detroit, MI",Utilities: Gas and Electric
Ameriprise Financial,"Minneapolis, MN",Diversified Financials
VF,"Greensboro, NC",Apparel
Praxair,"Danbury, CT",Chemicals
J.C. Penney,"Plano, TX",General Merchandisers
Automatic Data Processing,"Roseland, NJ",Diversified Outsourcing Services
L-3 Communications,"New York, NY",Aerospace and Defense
CDW,"Vernon Hills, IL",Information Technology Services
Guardian Life Ins. Co. of America,"New York, NY","Insurance: Life, Health (Mutual)"
Xcel Energy,"Minneapolis, MN",Utilities: Gas and Electric
Norfolk Southern,"Norfolk, VA",Railroads
PPL,"Allentown, PA",Utilities: Gas and Electric
R.R. Donnelley & Sons,"Chicago, IL","Publishing, Printing"
Huntsman,"Salt Lake City, UT",Chemicals
Bed Bath & Beyond,"Union, NJ",Specialty Retailers: Other
Stanley Black & Decker,"New Britain, CT","Home Equipment, Furnishings"
L Brands,"Columbus, OH",Specialty Retailers: Apparel
Liberty Interactive,"Englewood, CO",Internet Services and Retailing
Farmers Insurance Exchange,"Woodland Hills, CA",Insurance: Property and Casualty (Mutual)
First Data,"Atlanta, GA",Financial Data Services
Sherwin-Williams,"Cleveland, OH",Chemicals
BlackRock,"New York, NY",Securities
Voya Financial,"New York, NY","Insurance: Life, Health (stock)"
Ross Stores,"Dublin, CA",Specialty Retailers: Apparel
Sempra Energy,"San Diego, CA",Utilities: Gas and Electric
Estee Lauder,"New York, NY",Household and Personal Products
H.J. Heinz,"Pittsburgh, PA",Food Consumer Products
Reinsurance Group of America,"Chesterfield, MO","Insurance: Life, Health (stock)"
Public Service Enterprise Group,"Newark, NJ",Utilities: Gas and Electric
Cameron International,"Houston, TX","Oil and Gas Equipment, Services"
Navistar International,"Lisle, IL",Motor Vehicles and Parts
CST Brands,"San Antonio, TX",Specialty Retailers: Other
State Street Corp.,"Boston, MA",Commercial Banks
Unum Group,"Chattanooga, TN","Insurance: Life, Health (stock)"
Hilton Worldwide Holdings,"McLean, VA","Hotels, Casinos, Resorts"
Family Dollar Stores,"Matthews, NC",General Merchandisers
Principal Financial,"Des Moines, IA","Insurance: Life, Health (stock)"
Reliance Steel & Aluminum,"Los Angeles, CA",Metals
Air Products & Chemicals,"Allentown, PA",Chemicals
Assurant,"New York, NY",Insurance: Property and Casualty (Stock)
Peter Kiewit Sons',"Omaha, NE","Engineering, Construction"
Henry Schein,"Melville, NY",Wholesalers: Health Care
Cognizant Technology Solutions,"Teaneck, NJ",Information Technology Services
MGM Resorts International,"Las Vegas, NV","Hotels, Casinos, Resorts"
W.W. Grainger,"Lake Forest, IL",Wholesalers: Diversified
Group 1 Automotive,"Houston, TX","Automotive Retailing, Services"
BB&T Corp.,"Winston-Salem, NC",Commercial Banks
Rock-Tenn,"Norcross, GA","Packaging, Containers"
Advance Auto Parts,"Roanoke, VA",Specialty Retailers: Other
Ally Financial,"Detroit, MI",Commercial Banks
AGCO,"Duluth, GA",Construction and Farm Machinery
Corning,"Corning, NY",Network and Other Communications Equipment
Biogen,"Cambridge, MA",Pharmaceuticals
NGL Energy Partners,"Tulsa, OK",Wholesalers: Diversified
Stryker,"Kalamazoo, MI",Medical Products and Equipment
Molina Healthcare,"Long Beach, CA",Health Care: Insurance and Managed Care
Precision Castparts,"Portland, OR",Aerospace and Defense
Discover Financial Services,"Riverwoods, IL",Commercial Banks
Genworth Financial,"Richmond, VA","Insurance: Life, Health (stock)"
Eastman Chemical,"Kingsport, TN",Chemicals
Dean Foods,"Dallas, TX",Food Consumer Products
AutoZone,"Memphis, TN",Specialty Retailers: Other
MasterCard,"Purchase, NY",Financial Data Services
Owens & Minor,"Mechanicsville, VA",Wholesalers: Health Care
Hormel Foods,"Austin, MN",Food Consumer Products
GameStop,"Grapevine, TX",Specialty Retailers: Other
Autoliv,"Auburn Hills, MI",Motor Vehicles and Parts
CenterPoint Energy,"Houston, TX",Utilities: Gas and Electric
Fidelity National Financial,"Jacksonville, FL",Insurance: Property and Casualty (Stock)
Sonic Automotive,"Charlotte, NC","Automotive Retailing, Services"
HD Supply Holdings,"Atlanta, GA",Wholesalers: Diversified
Charter Communications,"Stamford, CT",Telecommunications
Crown Holdings,"Philadelphia, PA","Packaging, Containers"
Applied Materials,"Santa Clara, CA",Semiconductors and Other Electronic Components
Mosaic,"Plymouth, MN",Chemicals
CBRE Group,"Los Angeles, CA",Real estate
Avon Products,"New York, NY",Household and Personal Products
Republic Services,"Phoenix, AZ",Waste Management
Universal Health Services,"King of Prussia, PA",Health Care: Medical Facilities
Darden Restaurants,"Orlando, FL",Food Services
Steel Dynamics,"Fort Wayne, IN",Metals
SunTrust Banks,"Atlanta, GA",Commercial Banks
Caesars Entertainment,"Las Vegas, NV","Hotels, Casinos, Resorts"
Targa Resources,"Houston, TX",Pipelines
Dollar Tree,"Chesapeake, VA",Specialty Retailers: Other
News Corp.,"New York, NY","Publishing, Printing"
Ball,"Broomfield, CO","Packaging, Containers"
Thrivent Financial for Lutherans,"Minneapolis, MN","Insurance: Life, Health (Mutual)"
Masco,"Taylor, MI","Home Equipment, Furnishings"
Franklin Resources,"San Mateo, CA",Securities
Avis Budget Group,"Parsippany, NJ","Automotive Retailing, Services"
Reynolds American,"Winston-Salem, NC",Tobacco
Becton Dickinson,"Franklin Lakes, NJ",Medical Products and Equipment
Priceline Group,"Norwalk, CT",Internet Services and Retailing
Broadcom,"Irvine, CA",Semiconductors and Other Electronic Components
Tenneco,"Lake Forest, IL",Motor Vehicles and Parts
Campbell Soup,"Camden, NJ",Food Consumer Products
AECOM,"Los Angeles, CA","Engineering, Construction"
Visteon,"Van Buren Township, MI",Motor Vehicles and Parts
Delek US Holdings,"Brentwood, TN",Petroleum Refining
Dover,"Downers Grove, IL",Industrial Machinery
BorgWarner,"Auburn Hills, MI",Motor Vehicles and Parts
Jarden,"Boca Raton, FL","Home Equipment, Furnishings"
UGI,"King of Prussia, PA",Energy
Murphy Oil,"El Dorado, AR","Mining, Crude-Oil Production"
PVH,"New York, NY",Apparel
Core-Mark Holding,"South San Francisco, CA",Wholesalers: Food and Grocery
Calpine,"Houston, TX",Energy
D.R. Horton,"Fort Worth, TX",Homebuilders
Weyerhaeuser,"Federal Way, WA",Forest and Paper Products
KKR,"New York, NY",Securities
FMC Technologies,"Houston, TX","Oil and Gas Equipment, Services"
American Family Insurance Group,"Madison, WI",Insurance: Property and Casualty (Stock)
SpartanNash,"Grand Rapids, MI",Wholesalers: Food and Grocery
WESCO International,"Pittsburgh, PA",Wholesalers: Diversified
Quanta Services,"Houston, TX","Engineering, Construction"
Mohawk Industries,"Calhoun, GA",zMiscellaneous
Motorola Solutions,"Schaumburg, IL",Network and Other Communications Equipment
Lennar,"Miami, FL",Homebuilders
TravelCenters of America,"Westlake, OH",Specialty Retailers: Other
Sealed Air,"Charlotte, NC","Packaging, Containers"
Eversource Energy,"Springfield, MA",Utilities: Gas and Electric
Coca-Cola Enterprises,"Atlanta, GA",Beverages
Celgene,"Summit, NJ",Pharmaceuticals
Williams,"Tulsa, OK",Energy
Ashland,"Covington, KY",Chemicals
Interpublic Group,"New York, NY","Advertising, marketing"
Blackstone Group,"New York, NY",Diversified Financials
Ralph Lauren,"New York, NY",Apparel
Quest Diagnostics,"Madison, NJ",Health Care: Pharmacy and Other Services
Hershey,"Hershey, PA",Food Consumer Products
Terex,"Westport, CT",Construction and Farm Machinery
Boston Scientific,"Marlborough, MA",Medical Products and Equipment
Newmont Mining,"Greenwood Village, CO","Mining, Crude-Oil Production"
Allergan,"Irvine, CA",Pharmaceuticals
O'Reilly Automotive,"Springfield, MO",Specialty Retailers: Other
Casey's General Stores,"Ankeny, IA",Specialty Retailers: Other
CMS Energy,"Jackson, MI",Utilities: Gas and Electric
Foot Locker,"New York, NY",Specialty Retailers: Apparel
W.R. Berkley,"Greenwich, CT",Insurance: Property and Casualty (Stock)
PetSmart,"Phoenix, AZ",Specialty Retailers: Other
Pacific Life,"Newport Beach, CA","Insurance: Life, Health (stock)"
Commercial Metals,"Irving, TX",Metals
Agilent Technologies,"Santa Clara, CA","Scientific,Photographic and Control Equipment"
Huntington Ingalls Industries,"Newport News, VA",Aerospace and Defense
Mutual of Omaha Insurance,"Omaha, NE","Insurance: Life, Health (stock)"
Live Nation Entertainment,"Beverly Hills, CA",Entertainment
Dick's Sporting Goods,"Coraopolis, PA",Specialty Retailers: Other
Oshkosh,"Oshkosh, WI",Motor Vehicles and Parts
Celanese,"Irving, TX",Chemicals
Spirit AeroSystems Holdings,"Wichita, KS",Aerospace and Defense
United Natural Foods,"Providence, RI",Wholesalers: Food and Grocery
Peabody Energy,"St. Louis, MO","Mining, Crude-Oil Production"
Owens-Illinois,"Perrysburg, OH","Packaging, Containers"
Dillard's,"Little Rock, AR",General Merchandisers
Level 3 Communications,"Broomfield, CO",Telecommunications
Pantry,"Cary, NC",Specialty Retailers: Other
LKQ,"Chicago, IL",Wholesalers: Diversified
Integrys Energy Group,"Chicago, IL",Utilities: Gas and Electric
Symantec,"Mountain View, CA",Computer Software
Buckeye Partners,"Houston, TX",Pipelines
Ryder System,"Miami, FL","Trucking, Truck Leasing"
